CreateTime,Duration,MaxWaitingTime
0,16,12
50,24,18
100,16,12
150,21,16
250,24,18
350,24,18
450,20,15
500,22,17
600,20,15
700,16,12
750,21,16
775,24,18
800,16,12
850,22,16
875,19,14
900,20,15
950,17,13
1000,20,15
1150,17,13
1300,20,15
1450,23,18
1500,22,17
1800,20,15
1825,18,13
1850,24,18
1875,24,18
2000,18,13
2025,16,12
2150,19,14
2200,18,14
2300,16,12
2350,23,18
2375,19,14
2400,18,14
2450,24,18
2600,24,18
2650,17,13
2675,19,14
2700,18,13
2750,20,15
2775,18,13
2850,23,17
2950,23,18
3000,18,14
3050,19,14
3100,21,16
3125,18,13
3200,17,13
3250,19,14
3300,17,13
3350,20,15
3450,22,17
3500,19,14
3600,17,13
3700,18,13
3750,18,13
3850,20,15
3875,23,18
3900,22,16
4050,24,18
4150,22,17
4175,20,15
4250,18,14
4275,17,13
4300,16,12
4550,22,17
4600,20,15
4650,22,17
4700,23,17
4750,20,15
4800,18,13
4850,23,17
4900,17,13
4950,22,16
5000,17,13
5025,16,12
5100,23,18
5200,17,13
5250,23,17
5350,18,14
5400,22,16
5500,16,12
5550,22,16
5575,18,13
5600,23,17
5650,18,14
5700,20,15
5725,17,13
5750,16,12
5800,21,16
6050,20,15
6100,18,14
6150,22,17
6200,18,13
6300,22,17
6325,22,17
6350,20,15
6450,21,16
6600,18,13
6650,21,16
6700,16,12
6725,20,15
6850,19,14
6900,23,18
6950,23,18
7100,22,17
7125,21,15
7250,22,17
7300,16,12
7400,17,13
7450,19,14
7650,18,13
7700,16,12
7725,19,14
7750,18,13
7850,22,16
7875,23,17
7900,16,12
8250,19,14
8275,22,16
8400,18,14
8425,19,14
8450,22,16
8550,17,13
8650,24,18
8750,24,18
8900,16,12
9100,24,18
9200,24,18
9250,20,15
9275,21,16
9350,17,13
9450,24,18
9475,17,13
9550,18,13
9575,17,13
9650,22,16
9700,23,17
9900,19,14
9950,16,12
10000,22,17
10050,22,16
10075,17,13
10100,24,18
10150,18,13
10200,18,13
10225,18,13
10400,19,14
10550,24,18
10575,16,12
10600,24,18
10850,20,15
10900,18,13
10950,21,16
11000,18,14
11050,22,17
11075,23,17
11200,18,13
11250,24,18
11275,24,18
11350,22,16
11375,21,16
11400,23,17
11550,20,15
11600,21,16
11625,17,13
11650,19,14
11750,24,18
11775,17,13
11800,16,12
11900,24,18
11950,16,12
12000,21,16
12150,18,14
12200,24,18
12250,21,16
12275,17,12
12350,22,17
12400,24,18
12450,22,17
12550,22,16
12650,21,16
12700,24,18
12750,23,18
13050,21,15
13100,16,12
13300,24,18
13350,18,14
13400,23,17
13450,20,15
13600,19,14
13650,20,15
13700,23,17
13725,20,15
13750,19,14
13775,16,12
13800,24,18
13850,22,16
13900,18,14
14000,16,12
14025,23,18
14150,19,14
14200,18,13
14300,24,18
14400,16,12
14450,23,18
14550,23,18
14600,24,18
14650,21,16
14800,22,16
14825,21,16
14850,16,12
14900,19,14
14950,17,13
15100,18,13
15125,16,12
15150,22,17
15300,24,18
15350,24,18
15400,20,15
15500,17,13
15550,16,12
15575,16,12
15750,22,16
15775,22,17
15900,20,15
15950,17,13
16000,17,12
16025,24,18
16100,23,17
16200,22,17
16250,20,15
16500,20,15
16550,23,17
16575,23,17
16600,18,14
16650,19,15
16800,24,18
16850,22,17
16900,22,16
16950,18,13
17100,16,12
17150,22,16
17175,17,12
17200,23,18
17300,18,13
17350,17,12
17375,21,16
17550,18,13
17650,19,14
17700,19,14
17750,24,18
17900,22,16
17950,23,17
18100,23,18
18200,23,17
18250,18,14
18275,21,15
18300,17,13
18350,21,16
18500,22,16
18650,22,17
18700,24,18
18725,23,17
18750,24,18
18775,17,13
18800,21,16
18900,20,15
18950,19,14
19000,24,18
19050,21,16
19100,22,17
19125,17,13
19200,18,14
19250,18,13
19350,17,13
19450,19,14
19600,24,18
19650,23,17
19750,20,15
19800,19,14
19850,20,15
19875,23,18
19900,20,15
19950,20,15
20000,22,17
20050,22,17
20150,21,16
20200,24,18
20250,24,18
20500,24,18
20600,23,18
20650,23,17
20700,17,13
20750,24,18
20850,20,15
20950,16,12
21000,23,18
21250,17,13
21350,22,17
21400,22,16
21450,21,16
21475,18,13
21500,19,14
21550,23,17
21650,21,16
21700,23,17
21725,19,14
21750,21,16
21775,22,16
21900,20,15
21950,19,14
22100,22,17
22300,22,17
22350,18,13
22400,17,12
22700,23,17
22750,20,15
22800,18,13
22825,17,13
22850,19,14
22900,24,18
22950,21,16
23000,19,14
23100,24,18
23125,22,16
23150,24,18
23200,16,12
23300,18,14
23400,22,17
23450,17,12
23500,20,15
23550,22,17
23600,16,12
23625,22,17
23650,22,17
23700,18,14
23800,20,15
23850,22,17
23875,24,18
23900,24,18
24000,19,14
24150,16,12
24175,18,13
24200,20,15
24250,21,16
24300,17,12
24350,16,12
24400,23,18
24450,23,18
24500,21,16
24550,21,16
24600,21,16
24625,24,18
24700,18,14
24800,22,17
24850,16,12
24875,23,17
25000,19,14
25050,16,12
25200,21,16
25250,22,17
25350,17,12
25400,23,18
25450,21,16
25500,16,12
25600,21,16
25650,22,16
25750,24,18
25800,20,15
25850,23,17
25900,18,14
25950,22,17
26000,19,14
26050,18,13
26100,16,12
26150,23,18
26300,19,14
26450,24,18
26500,19,14
26525,21,16
26550,23,18
26600,17,12
26625,19,15
26650,16,12
26700,20,15
26750,23,18
26800,23,17
26850,22,17
26950,16,12
27150,22,16
27300,20,15
27325,17,12
27350,21,16
27400,18,14
27500,17,13
27550,18,13
27700,17,13
27725,21,16
27750,20,15
27800,24,18
27900,19,14
27950,17,12
28000,18,14
28050,16,12
28100,19,14
28150,23,18
28250,18,13
28300,22,17
28400,18,13
28500,23,18
28525,22,16
28700,24,18
28800,16,12
28850,20,15
28900,22,17
28950,21,16
29000,22,16
29150,23,17
29175,16,12
29400,17,12
29500,23,17
29525,24,18
29600,24,18
29650,23,18
29700,19,14
29725,17,13
29750,16,12
29775,16,12
29850,16,12
29900,23,17
29950,22,16
30000,22,16
30050,19,14
30100,19,14
30125,17,13
30150,22,17
30200,23,17
30225,19,14
30300,22,16
30350,22,16
30400,21,16
30450,16,12
30550,20,15
30700,17,13
30750,24,18
30800,20,15
30900,16,12
30950,16,12
