CreateTime,Duration,MaxWaitingTime
0,10,8
12,12,9
25,10,8
37,9,7
50,10,8
75,8,7
100,8,7
110,10,8
120,12,9
130,9,7
140,12,9
150,10,8
166,8,7
183,10,8
200,8,7
210,8,7
220,8,7
230,12,9
240,12,9
250,11,9
266,12,9
283,11,9
300,8,7
316,9,8
333,9,7
350,8,7
375,12,9
400,11,9
412,11,8
425,11,9
437,8,7
450,10,8
458,9,8
466,12,9
475,9,7
483,12,9
491,9,7
499,10,8
500,10,8
507,12,9
514,11,8
521,8,7
528,9,8
535,8,7
542,10,8
550,9,8
558,10,8
566,10,8
575,8,7
583,10,8
591,12,9
599,9,8
600,10,8
616,8,7
633,10,8
650,12,9
675,11,9
700,8,7
716,8,7
733,10,8
750,8,7
766,9,7
783,12,9
800,8,7
816,9,7
833,10,8
850,9,7
860,9,7
870,9,7
880,9,7
890,12,9
900,10,8
916,9,7
933,8,7
950,8,7
962,11,9
975,9,8
987,12,9
1000,12,9
1012,12,9
1025,10,8
1037,10,8
1050,11,9
1060,8,7
1070,12,9
1080,11,9
1090,12,9
1100,9,7
1108,9,7
1116,9,8
1125,8,7
1133,8,7
1141,10,8
1149,8,7
1150,11,9
1162,9,8
1175,9,7
1187,9,7
1200,12,9
1207,8,7
1214,8,7
1221,9,7
1228,8,7
1235,11,9
1242,11,8
1250,9,7
1257,8,7
1264,10,8
1271,8,7
1278,12,9
1285,10,8
1292,11,9
1300,9,8
1325,9,7
1350,8,7
1366,10,8
1383,10,8
1400,12,9
1412,8,7
1425,10,8
1437,10,8
1450,12,9
1452,12,9
1455,12,9
1458,8,7
1461,12,9
1463,8,7
1466,8,7
1469,9,7
1472,11,9
1475,10,8
1477,8,7
1480,8,7
1483,11,9
1486,11,9
1488,9,7
1491,9,8
1494,12,9
1497,10,8
1500,11,8
1507,11,8
1514,10,8
1521,9,7
1528,10,8
1535,12,9
1542,10,8
1550,11,9
1566,8,7
1583,12,9
1600,8,7
1616,11,9
1633,9,8
1650,8,7
1666,10,8
1683,10,8
1700,8,7
1712,9,7
1725,9,7
1737,11,9
1750,12,9
1766,8,7
1783,12,9
1800,8,7
1816,9,7
1833,9,8
1850,9,8
1853,11,9
1856,10,8
1860,10,8
1863,11,9
1866,8,7
1870,11,9
1873,9,8
1876,10,8
1880,12,9
1883,8,7
1886,11,9
1890,10,8
1893,8,7
1896,11,8
1899,8,7
1900,12,9
1910,9,7
1920,8,7
1930,12,9
1940,8,7
1950,8,7
1960,11,8
1970,9,7
1980,10,8
1990,12,9
2000,8,7
2003,8,7
2007,11,8
2011,10,8
2015,11,9
2019,10,8
2023,12,9
2026,8,7
2030,10,8
2034,11,9
2038,8,7
2042,11,9
2046,9,7
2049,12,9
2050,8,7
2055,12,9
2060,10,8
2065,10,8
2070,10,8
2075,9,8
2080,12,9
2085,8,7
2090,8,7
2095,11,9
2100,8,7
2116,11,9
2133,8,7
2150,9,7
2175,9,7
2200,9,8
2216,8,7
2233,9,8
2250,12,9
2262,11,9
2275,8,7
2287,10,8
2300,11,9
2312,8,7
2325,9,7
2337,11,8
2350,12,9
2375,10,8
2400,10,8
2416,12,9
2433,8,7
2450,9,7
2466,12,9
2483,8,7
2500,12,9
2510,8,7
2520,10,8
2530,8,7
2540,11,9
2550,9,7
2566,8,7
2583,12,9
2600,8,7
2604,12,9
2609,10,8
2613,12,9
2618,9,8
2622,11,9
2627,11,9
2631,8,7
2636,10,8
2640,11,9
2645,12,9
2650,10,8
2675,12,9
2700,11,8
2712,8,7
2725,10,8
2737,9,7
2750,12,9
2756,10,8
2762,9,8
2768,11,9
2775,8,7
2781,11,8
2787,12,9
2793,12,9
2800,12,9
2816,9,8
2833,8,7
2850,12,9
2875,8,7
2900,10,8
2916,11,8
2933,10,8
2950,8,7
2956,10,8
2962,12,9
2968,10,8
2975,9,7
2981,9,7
2987,8,7
2993,11,9
3000,9,7
3016,9,8
3033,9,7
3050,10,8
3075,9,8
3100,8,7
3116,9,7
3133,8,7
3150,12,9
3162,11,9
3175,12,9
