CreateTime,Duration,MaxWaitingTime
0,4,5
1,2,4
3,5,5
5,4,5
6,8,6
8,5,5
10,3,4
15,2,4
20,8,6
21,8,6
22,5,5
23,5,5
24,2,4
25,8,6
26,3,4
27,8,5
28,4,5
29,6,5
30,4,5
31,9,6
32,4,5
34,7,5
35,4,5
37,10,6
38,4,5
40,4,5
40,4,5
41,4,5
42,2,4
42,7,5
43,4,5
44,5,5
44,10,6
45,6,5
45,3,4
46,10,6
47,4,5
47,10,6
48,2,4
49,8,6
50,9,6
51,9,6
52,3,4
53,8,6
54,3,4
55,3,4
56,6,5
57,10,6
58,8,5
60,3,4
63,3,4
66,8,6
70,3,4
73,5,5
76,7,5
80,7,5
80,8,5
81,6,5
82,10,6
82,5,5
83,3,4
84,9,6
84,1,4
85,2,4
85,6,5
86,1,4
87,5,5
87,6,5
88,6,5
89,3,5
90,5,5
90,4,5
91,5,5
91,5,5
92,1,4
92,4,5
93,5,5
94,6,5
94,8,6
95,3,4
95,9,6
96,4,5
97,6,5
97,9,6
98,5,5
98,6,5
99,3,4
99,6,5
100,9,6
101,6,5
102,3,4
103,8,6
105,1,4
106,7,5
107,7,5
108,10,6
110,9,6
111,3,4
112,4,5
113,3,4
114,8,6
115,10,6
116,5,5
117,5,5
118,8,6
120,9,6
125,4,5
130,8,5
130,5,5
131,4,5
132,3,5
132,3,4
133,8,6
134,8,6
134,6,5
135,9,6
135,4,5
136,2,4
137,6,5
137,10,6
138,9,6
139,9,6
140,7,5
142,9,6
145,1,4
147,7,5
150,4,5
150,8,6
151,9,6
152,1,4
152,5,5
153,3,4
154,3,4
154,6,5
155,5,5
155,9,6
156,9,6
157,2,4
157,2,4
158,6,5
159,3,4
160,5,5
161,2,4
163,6,5
165,4,5
166,1,4
168,10,6
170,3,4
170,2,4
171,8,6
172,7,5
173,8,6
174,6,5
175,4,5
176,4,5
177,9,6
178,4,5
179,6,5
180,5,5
181,2,4
183,6,5
185,6,5
186,9,6
188,4,5
190,9,6
190,2,4
191,10,6
191,3,4
192,4,5
192,7,5
193,10,6
194,3,4
194,1,4
195,10,6
195,8,6
196,5,5
197,8,5
197,2,4
198,7,5
198,10,6
199,8,5
199,2,4
200,7,5
201,2,4
203,4,5
205,7,5
206,7,5
208,9,6
210,3,4
210,6,5
211,6,5
212,4,5
213,7,5
214,1,4
215,1,4
215,6,5
216,6,5
217,8,6
218,7,5
219,3,5
220,2,4
221,8,6
222,8,6
224,5,5
225,8,6
227,5,5
228,8,6
230,7,5
230,6,5
231,9,6
231,3,4
232,3,4
232,9,6
233,5,5
233,4,5
234,5,5
234,10,6
235,9,6
235,10,6
236,3,4
236,5,5
237,2,4
237,10,6
238,9,6
238,2,4
239,7,5
239,6,5
240,10,6
241,9,6
242,3,4
244,9,6
245,10,6
247,5,5
248,4,5
250,9,6
251,10,6
252,4,5
254,2,4
255,3,5
257,9,6
258,9,6
260,10,6
261,5,5
263,4,5
265,4,5
266,4,5
268,5,5
270,2,4
271,7,5
273,6,5
275,7,5
276,7,5
278,8,6
280,5,5
285,8,6
290,10,6
290,8,6
291,10,6
292,5,5
292,2,4
293,9,6
294,8,6
295,7,5
295,4,5
296,2,4
297,3,4
297,8,6
298,6,5
299,6,5
300,4,5
301,2,4
303,8,6
305,6,5
306,2,4
308,4,5
310,5,5
311,7,5
312,7,5
313,6,5
315,7,5
316,3,4
317,5,5
318,3,5
320,4,5
320,6,5
321,2,4
321,3,4
322,10,6
322,6,5
323,9,6
