CreateTime,Duration,MaxWaitingTime
0,33,4
300,48,6
600,45,6
750,41,5
850,42,5
1100,43,5
1200,35,4
1300,45,6
2450,41,5
2600,44,6
2650,42,5
2950,36,4
3100,35,4
3700,42,5
4400,40,5
4450,35,4
4700,46,6
5350,33,4
5400,44,6
5450,47,6
5650,45,6
5750,39,5
6000,35,4
6200,46,6
6450,35,4
6900,38,5
7300,34,4
7450,36,4
7550,41,5
7900,43,5
8150,46,6
8300,45,6
8450,45,6
8900,47,6
9050,45,6
9250,33,4
9400,41,5
9900,46,6
10100,48,6
10400,44,6
10600,46,6
11550,48,6
11600,39,5
11800,46,6
12600,39,5
12650,47,6
13350,48,6
13550,44,6
13600,44,6
13850,33,4
14300,39,5
14550,43,6
15500,34,4
15950,35,4
16500,46,6
16900,42,5
17100,45,6
17400,48,6
17500,38,5
17850,36,4
18050,40,5
18150,48,6
18200,35,4
18450,47,6
18750,46,6
19800,45,6
20600,40,5
21150,36,4
21550,45,6
22250,39,5
22450,42,5
22850,48,6
22900,33,4
23250,32,4
23400,32,4
23900,45,6
24450,48,6
24950,38,5
25600,39,5
25650,36,4
26250,39,5
26600,38,5
26650,40,5
27000,40,5
27300,35,4
28200,34,4
28250,43,6
28350,41,5
28800,33,4
28950,34,4
29000,37,4
29050,42,5
29450,39,5
29700,44,6
29950,35,4
30000,47,6
30050,45,6
30300,41,5
30450,48,6
30500,42,5
30800,38,5
32050,43,5
32250,47,6
32500,37,4
33150,39,5
33300,40,5
33900,41,5
34000,33,4
34100,34,4
34200,32,4
35450,43,5
35500,38,5
35850,41,5
36850,34,4
37500,45,6
37650,34,4
38050,40,5
38300,44,6
39100,43,6
39200,44,6
39250,33,4
39300,47,6
41600,35,4
42100,43,5
42400,34,4
42650,32,4
43050,40,5
43150,38,5
43200,46,6
43500,34,4
44000,32,4
44650,38,5
45000,38,5
46450,45,6
46900,46,6
47100,45,6
47350,39,5
47600,34,4
47800,32,4
48000,43,6
48450,41,5
48500,41,5
48900,39,5
49150,32,4
49450,40,5
49550,47,6
49600,33,4
50000,37,4
50100,47,6
50200,33,4
50400,39,5
50800,32,4
50950,47,6
51550,36,4
52000,41,5
52150,40,5
52900,39,5
52950,36,4
54400,35,4
54550,38,5
55250,48,6
55350,35,4
56050,36,4
56800,32,4
57050,48,6
57300,36,4
57950,32,4
58050,44,6
58300,37,4
58500,32,4
59350,43,6
59700,37,5
59950,44,6
60350,48,6
61400,34,4
61900,41,5
62900,40,5
63050,34,4
63200,35,4
63300,35,4
64650,48,6
64900,35,4
65000,39,5
65050,45,6
65800,43,6
66050,32,4
66650,40,5
66800,33,4
67000,36,4
67250,38,5
67500,37,4
67750,35,4
68000,48,6
68600,42,5
68650,44,6
69700,38,5
71150,36,4
72050,38,5
72400,33,4
72750,35,4
73350,47,6
73650,37,4
74250,32,4
74750,47,6
74800,38,5
75050,33,4
75550,37,4
75600,47,6
75650,34,4
76500,48,6
76550,48,6
76650,37,4
78200,33,4
78600,48,6
79050,39,5
79400,45,6
79600,44,6
79650,40,5
82500,37,4
82800,48,6
83000,44,6
83350,47,6
83500,40,5
83950,47,6
84300,44,6
84400,40,5
84550,38,5
84950,33,4
85250,36,4
85500,44,6
85600,36,4
85650,34,4
85700,33,4
85750,48,6
86250,37,5
86350,43,6
86650,35,4
87750,41,5
88100,38,5
88350,42,5
88700,43,6
88800,42,5
89300,48,6
89450,36,4
89600,39,5
89850,32,4
89950,33,4
90400,32,4
90500,35,4
91200,47,6
91300,43,5
92100,45,6
93350,33,4
94050,34,4
94300,39,5
94600,32,4
94700,45,6
95100,33,4
95350,34,4
95850,46,6
96000,44,6
96800,36,4
97200,42,5
97350,38,5
97800,43,6
97850,46,6
98500,35,4
98750,34,4
99100,42,5
99350,44,6
99450,42,5
99550,34,4
99700,33,4
99900,44,6
100300,36,4
100400,34,4
101000,47,6
101200,36,4
101300,40,5
101400,43,6
101650,38,5
101900,38,5
102650,46,6
103050,37,5
103950,33,4
104500,40,5
104850,32,4
105600,48,6
105750,40,5
105800,37,4
105900,47,6
106950,34,4
107000,38,5
107900,40,5
108150,47,6
108250,39,5
109400,48,6
110150,42,5
110350,41,5
110400,41,5
110450,45,6
110750,48,6
111050,38,5
111100,40,5
111500,37,5
111950,40,5
112050,43,5
112300,38,5
112650,46,6
112700,37,4
112950,33,4
113300,41,5
113600,41,5
113850,39,5
113950,40,5
114400,38,5
114500,39,5
114550,36,4
115500,36,4
116150,35,4
116450,45,6
116600,36,4
117000,42,5
117900,36,4
118500,46,6
118750,40,5
119200,45,6
119400,42,5
119750,46,6
120700,45,6
121250,34,4
121450,37,4
121850,43,6
122200,48,6
122250,47,6
122750,39,5
123200,48,6
123300,37,5
123450,32,4
123550,42,5
123800,46,6
124250,43,6
124550,33,4
125400,35,4
125600,36,4
125950,38,5
126500,41,5
126650,47,6
126850,32,4
127300,40,5
127400,32,4
127550,43,6
128350,37,4
129350,38,5
129400,45,6
129700,40,5
130850,38,5
131500,33,4
131950,43,5
132050,46,6
132800,44,6
132900,33,4
132950,40,5
133700,33,4
134200,34,4
135150,45,6
135200,46,6
135400,41,5
135500,41,5
135600,32,4
135650,38,5
135850,33,4
136250,36,4
136550,43,5
136600,38,5
137000,33,4
137800,35,4
138000,39,5
139700,32,4
139750,39,5
140150,47,6
140450,46,6
141500,41,5
142650,37,4
142750,45,6
143050,39,5
143350,32,4
143550,37,4
144200,34,4
144400,38,5
145150,33,4
145600,46,6
145650,43,6
146650,34,4
146900,47,6
147100,45,6
147200,34,4
147750,48,6
148000,32,4
148450,39,5
148650,40,5
148850,48,6
149800,38,5
150000,48,6
150400,33,4
150450,48,6
151800,38,5
152050,43,5
152700,32,4
153150,43,6
153500,37,4
154000,47,6
154150,33,4
154550,35,4
155600,48,6
156250,47,6
156350,40,5
156500,35,4
156750,36,4
156800,43,6
157050,45,6
157950,41,5
159450,39,5
160450,34,4
160800,48,6
161000,41,5
161650,38,5
162200,34,4
162650,44,6
162700,41,5
162850,48,6
163100,35,4
163300,39,5
163650,41,5
163750,48,6
164000,47,6
164400,39,5
164450,41,5
165100,35,4
165900,46,6
166150,32,4
166500,37,5
166550,36,4
167000,40,5
167050,33,4
167150,34,4
167750,45,6
167800,40,5
168100,35,4
168150,32,4
168300,36,4
168400,48,6
168950,44,6
169050,37,4
169850,43,6
170050,47,6
170600,41,5
170800,35,4
171350,32,4
171950,41,5
172000,41,5
172900,36,4
173350,47,6
173700,39,5
173900,44,6
174250,33,4
174300,40,5
174650,40,5
176500,35,4
176700,32,4
176900,39,5
177000,48,6
177150,32,4
177250,39,5
178450,42,5
178650,39,5
179350,36,4
179550,47,6
179750,33,4
179800,46,6
180350,45,6
180800,47,6
183000,48,6
184200,44,6
184250,37,4
185050,48,6
185250,40,5
185550,33,4
185650,47,6
185900,32,4
186500,37,4
186950,36,4
187050,41,5
187450,43,6
187600,36,4
187700,45,6
187900,39,5
188150,46,6
188400,45,6
188650,32,4
189300,42,5
189750,36,4
189850,36,4
189900,34,4
190100,42,5
190200,37,4
190350,48,6
190400,36,4
190500,43,6
191050,36,4
191450,42,5
191750,43,5
192150,34,4
192400,34,4
192550,44,6
192600,43,5
194050,37,4
194150,35,4
194350,33,4
194550,44,6
195700,41,5
195900,39,5
195950,42,5
196150,35,4
196200,44,6
196750,34,4
196850,38,5
197400,37,4
197550,34,4
198500,46,6
198850,32,4
199150,39,5
199850,34,4
199900,33,4
200150,35,4
200650,40,5
201050,42,5
202050,45,6
202700,34,4
202800,32,4
203350,32,4
204850,36,4
205300,38,5
205500,42,5
207300,38,5
207550,43,6
207650,34,4
208150,38,5
208550,47,6
208650,42,5
208750,40,5
209400,36,4
209600,44,6
209900,32,4
210000,39,5
210050,35,4
210150,43,6
211150,33,4
211200,39,5
211400,39,5
211550,47,6
211650,42,5
213050,33,4
213600,46,6
213750,36,4
213900,35,4
214050,40,5
214750,33,4
215100,47,6
215300,35,4
216050,32,4
216100,40,5
216400,33,4
216850,33,4
216900,43,6
218300,37,4
218600,32,4
218650,48,6
219050,45,6
219100,32,4
219400,32,4
219650,32,4
219750,38,5
220550,41,5
221000,38,5
221450,45,6
221650,43,6
221800,34,4
222800,42,5
223200,32,4
223550,45,6
223900,41,5
224000,38,5
225250,43,6
225950,34,4
226100,39,5
226400,34,4
226750,41,5
227600,38,5
227650,35,4
227800,34,4
228750,33,4
229400,39,5
229700,43,6
230200,42,5
230650,48,6
230750,35,4
230900,43,6
231050,37,4
231200,34,4
232100,34,4
232400,44,6
232850,37,4
233200,38,5
235000,38,5
235400,46,6
236400,35,4
236900,41,5
237250,39,5
237900,40,5
239650,40,5
239850,38,5
240050,39,5
240800,46,6
241050,38,5
241600,39,5
242050,34,4
242150,38,5
242500,47,6
242750,36,4
242900,34,4
243800,39,5
243950,41,5
244700,42,5
245050,47,6
245400,48,6
245500,41,5
245750,43,6
245950,47,6
246100,39,5
246500,42,5
246600,32,4
247450,45,6
247600,39,5
247800,46,6
248150,33,4
248250,36,4
248350,32,4
248550,36,4
248650,36,4
249100,35,4
249700,41,5
249750,33,4
249900,47,6
251100,43,5
251200,45,6
251250,42,5
251500,41,5
251600,36,4
251950,34,4
252300,46,6
252350,45,6
253100,44,6
253500,32,4
253950,48,6
254000,44,6
254150,34,4
254300,43,6
254500,40,5
254700,39,5
255000,37,4
255350,40,5
255500,42,5
255850,32,4
256800,47,6
256950,40,5
257200,41,5
257400,48,6
257800,32,4
258300,37,4
258750,35,4
258850,33,4
259000,33,4
259850,42,5
259950,33,4
260100,42,5
260500,37,5
261050,43,6
261100,48,6
261350,34,4
261700,38,5
261950,48,6
262400,39,5
263750,45,6
264600,41,5
264850,45,6
264900,36,4
265150,44,6
265200,40,5
265450,34,4
265850,48,6
266050,41,5
266100,41,5
266150,46,6
266200,48,6
266250,43,6
267050,48,6
267450,33,4
267700,32,4
267750,34,4
267900,35,4
267950,42,5
268000,41,5
268850,48,6
268950,48,6
269200,44,6
269700,44,6
269850,33,4
269900,48,6
269950,38,5
270400,38,5
270600,39,5
270750,44,6
270850,37,5
271300,33,4
271350,37,4
271400,33,4
271650,46,6
271700,40,5
271750,33,4
272800,36,4
273200,46,6
273500,40,5
273900,46,6
275050,37,5
275100,42,5
275600,41,5
276950,36,4
278000,43,5
278200,38,5
279700,43,5
279950,36,4
280050,43,6
280100,45,6
281000,48,6
281150,44,6
281850,38,5
282600,39,5
284650,46,6
284850,46,6
285400,33,4
286000,34,4
286200,45,6
286350,33,4
287650,45,6
287950,40,5
288000,46,6
288050,35,4
288450,44,6
289600,43,6
290050,42,5
291050,33,4
291150,42,5
291850,47,6
292000,47,6
292050,38,5
292500,33,4
293550,44,6
293750,42,5
294300,37,4
294450,34,4
295150,40,5
295250,39,5
295350,42,5
295900,44,6
296250,33,4
297100,45,6
297250,48,6
297900,38,5
298000,37,5
298500,47,6
299350,43,6
299400,32,4
299450,42,5
300000,32,4
300650,34,4
301300,32,4
301600,38,5
301900,32,4
302050,46,6
302500,45,6
302950,38,5
303450,40,5
303550,48,6
303600,45,6
303700,41,5
304850,43,6
304950,45,6
305750,47,6
305850,41,5
306350,42,5
307350,43,6
308200,45,6
309500,40,5
309550,43,6
310050,41,5
310550,43,6
310650,35,4
310700,38,5
311450,43,6
311650,44,6
311700,46,6
311900,45,6
312150,38,5
312300,45,6
312500,47,6
312550,32,4
312800,48,6
313200,46,6
313600,45,6
314200,37,4
314700,44,6
314850,43,6
315000,45,6
315200,40,5
315550,45,6
315850,48,6
316150,39,5
317100,45,6
317550,34,4
318050,39,5
318150,32,4
318400,33,4
319950,45,6
320700,44,6
320900,35,4
321350,46,6
321550,41,5
321600,48,6
321750,40,5
322050,39,5
322250,46,6
322450,32,4
322500,38,5
323100,33,4
323800,47,6
324300,42,5
324550,33,4
324750,35,4
324950,46,6
325350,40,5
325700,44,6
326100,47,6
326150,33,4
326850,36,4
327600,47,6
328000,48,6
328700,48,6
329100,48,6
329550,47,6
329950,41,5
330550,35,4
331800,38,5
332600,35,4
332950,36,4
333100,44,6
333350,45,6
333800,48,6
334900,43,6
335350,41,5
335600,32,4
335750,40,5
336300,48,6
336850,38,5
336900,37,5
337000,39,5
337100,44,6
337150,37,5
337200,43,6
337650,41,5
338300,34,4
338800,47,6
339200,35,4
339250,47,6
339450,43,5
340400,44,6
340550,33,4
340650,48,6
341250,41,5
343400,45,6
343800,36,4
343900,47,6
344150,41,5
344750,33,4
344800,47,6
345400,35,4
345750,40,5
346400,45,6
346450,34,4
347000,38,5
347450,34,4
347600,43,5
347750,38,5
347850,43,6
348650,46,6
348750,32,4
348950,44,6
350000,41,5
350250,45,6
350400,46,6
350450,35,4
350600,42,5
350700,36,4
350850,38,5
351000,44,6
351200,43,5
351750,48,6
351900,39,5
352150,41,5
352850,40,5
353050,43,5
354200,46,6
354350,39,5
354500,46,6
354750,36,4
355800,34,4
356700,48,6
357050,47,6
357350,40,5
358200,34,4
358250,47,6
358350,47,6
358600,35,4
358850,37,4
359050,39,5
359450,40,5
360100,41,5
360200,41,5
360500,33,4
360800,42,5
360950,48,6
362050,40,5
363850,35,4
364250,43,6
364600,42,5
364700,42,5
364950,42,5
365000,34,4
365150,37,5
365250,36,4
365300,35,4
365650,33,4
365700,35,4
366400,42,5
366800,44,6
367400,37,4
367700,36,4
367800,40,5
369400,39,5
369650,43,6
370400,32,4
370550,45,6
370950,33,4
371100,42,5
371150,47,6
371750,36,4
371900,39,5
372000,48,6
372950,48,6
373400,35,4
373750,33,4
373950,39,5
374650,37,4
375150,47,6
375250,40,5
376450,34,4
376500,43,5
376600,44,6
376750,36,4
378100,42,5
378950,41,5
379200,45,6
379650,41,5
379850,36,4
379950,47,6
380550,46,6
380600,43,6
381000,42,5
381750,42,5
381850,34,4
382050,36,4
383700,32,4
384050,33,4
384100,39,5
384650,42,5
384800,35,4
385200,38,5
385500,41,5
386050,44,6
386400,38,5
386500,35,4
387750,42,5
388100,35,4
388400,33,4
388450,34,4
389050,44,6
389100,44,6
389150,37,4
389200,33,4
390100,41,5
391250,43,5
391550,40,5
392350,36,4
393500,45,6
394250,33,4
394500,36,4
394700,35,4
394950,46,6
396450,44,6
396800,33,4
397150,41,5
398400,45,6
399850,37,5
399900,45,6
400050,48,6
401200,33,4
401450,38,5
401750,47,6
401900,37,4
402200,37,4
402250,45,6
403500,33,4
403650,48,6
404950,47,6
405850,38,5
406000,47,6
406300,41,5
406800,40,5
406900,33,4
407150,34,4
407250,33,4
407350,38,5
407800,41,5
407950,33,4
408600,40,5
409000,44,6
409050,45,6
409600,36,4
409650,37,4
410650,37,5
410700,48,6
412300,41,5
412750,45,6
412850,43,5
413650,45,6
414600,38,5
415000,36,4
415200,38,5
415900,34,4
416950,33,4
417200,38,5
417500,46,6
417900,48,6
418650,44,6
418800,45,6
419400,41,5
419650,40,5
420000,38,5
421200,38,5
421850,35,4
422400,43,6
422750,44,6
422900,44,6
423050,41,5
423250,48,6
423350,34,4
424500,36,4
424600,36,4
424750,37,5
425000,35,4
425050,36,4
425250,33,4
425850,41,5
426050,48,6
426850,38,5
426950,35,4
427200,37,4
427450,37,5
428050,33,4
428600,48,6
428700,42,5
428750,35,4
429700,38,5
429900,32,4
430000,44,6
430150,35,4
430400,38,5
431300,45,6
432000,37,4
432150,47,6
432200,35,4
432600,39,5
432650,47,6
433050,34,4
433500,43,5
433900,36,4
434050,45,6
434550,35,4
434600,43,5
435150,42,5
435450,34,4
435900,32,4
436050,32,4
436100,47,6
436150,45,6
436600,37,4
436900,37,4
437100,32,4
437200,38,5
438700,41,5
438900,36,4
439050,35,4
440100,36,4
440150,38,5
440400,41,5
440750,40,5
440800,38,5
442550,43,6
442750,46,6
443450,44,6
444150,45,6
444350,40,5
444650,48,6
444800,39,5
444900,48,6
446550,46,6
446600,35,4
446650,39,5
446950,37,4
448050,33,4
448250,38,5
448400,33,4
448700,43,6
448900,40,5
449450,46,6
450550,42,5
451950,34,4
452000,39,5
452400,36,4
453400,39,5
454200,47,6
454350,38,5
454750,38,5
454800,45,6
455350,43,6
456100,32,4
456200,34,4
456450,40,5
456500,42,5
457550,34,4
457750,46,6
457800,34,4
459050,38,5
459600,47,6
460200,46,6
460250,43,6
460750,33,4
460850,42,5
461050,47,6
461150,47,6
461300,33,4
461500,47,6
461650,43,6
461750,36,4
462100,34,4
462250,34,4
462450,40,5
462750,45,6
463050,41,5
463400,47,6
463450,38,5
463550,47,6
463950,38,5
464200,38,5
464450,46,6
464850,38,5
465350,33,4
465700,35,4
465800,44,6
465900,47,6
466200,44,6
466250,44,6
466300,45,6
467150,35,4
468050,36,4
468300,36,4
468400,43,6
468600,45,6
470400,42,5
470700,35,4
471550,40,5
471600,40,5
471700,41,5
471750,38,5
472400,37,5
473350,32,4
474350,44,6
474400,34,4
475150,42,5
476450,40,5
476600,41,5
477150,37,5
477450,48,6
478000,43,6
478600,44,6
479000,48,6
479350,44,6
