CreateTime,Duration,MaxWaitingTime
0,18,4
250,20,5
350,21,5
450,23,6
550,24,6
650,19,5
700,17,4
850,20,5
900,18,4
1050,18,4
1200,23,6
1300,16,4
1400,24,6
1450,16,4
1500,16,4
1800,23,6
1950,20,5
2050,19,5
2250,16,4
2500,18,4
2650,24,6
2700,18,4
2950,17,4
3000,22,6
3250,18,4
3350,22,6
3400,18,4
3650,21,5
3700,16,4
3900,17,4
4000,19,5
4250,20,5
4300,21,5
4550,21,5
4600,22,6
4900,21,5
4950,16,4
5150,21,5
5900,20,5
6400,16,4
6600,23,6
6750,17,4
6900,16,4
6950,19,5
7050,22,6
7350,20,5
7550,19,5
7600,16,4
7950,24,6
8350,19,5
8650,20,5
8800,17,4
9100,17,4
9600,17,4
9750,19,5
9850,24,6
10300,19,5
10350,23,6
10850,20,5
10900,17,4
11650,16,4
11850,20,5
11900,19,5
11950,17,4
12250,24,6
12550,19,5
12650,19,5
12800,19,5
12850,19,5
13150,20,5
13350,22,6
13400,23,6
13700,24,6
13850,16,4
13900,20,5
13950,22,6
14100,17,4
14550,22,6
14650,16,4
14850,23,6
15000,18,4
15400,17,4
15550,22,6
15800,22,6
16000,21,5
16050,17,4
16200,19,5
16250,20,5
16350,17,4
16500,22,6
16850,18,4
17050,18,4
17100,16,4
17400,18,4
17450,24,6
17550,19,5
17700,22,6
17750,24,6
17850,20,5
17950,19,5
18150,16,4
18250,16,4
18350,22,6
18550,20,5
18650,21,5
19050,21,5
19150,18,4
19200,16,4
19800,22,6
19850,21,5
19900,23,6
20050,21,5
20450,23,6
20700,22,6
21350,23,6
21400,23,6
21500,22,6
21550,22,6
21950,20,5
22050,22,6
22150,16,4
22250,24,6
22450,17,4
22600,21,5
23100,18,4
23250,19,5
23350,23,6
23450,21,5
23550,16,4
23700,17,4
24000,24,6
24200,18,4
24400,18,4
24700,21,5
24750,23,6
24850,18,4
24900,20,5
25100,18,4
25400,16,4
25600,16,4
25650,24,6
25750,18,4
26050,23,6
26250,20,5
26850,24,6
26900,21,5
27400,20,5
27500,19,5
27550,19,5
27650,16,4
27700,21,5
28000,16,4
28200,20,5
28300,22,6
28400,19,5
28500,17,4
