CreateTime,Duration,MaxWaitingTime
50,48,18
400,36,13
450,44,16
500,46,18
1150,44,17
1250,45,17
1300,40,15
1350,42,16
1450,38,14
1550,34,13
2000,35,13
2200,34,12
2250,42,16
2300,45,17
2400,32,12
2550,38,14
2750,38,14
2850,42,16
2900,39,15
3050,40,15
3150,33,12
3550,41,16
3650,40,15
3900,41,15
3950,42,16
4150,33,12
4200,39,14
4350,34,12
4400,45,17
4650,33,12
5350,32,12
5400,39,15
5450,41,15
5500,35,13
5550,35,13
5750,35,13
5950,46,17
6000,35,13
6200,32,12
6300,34,13
6350,44,17
6400,48,18
6450,36,13
6650,46,18
6800,38,14
6850,39,15
6900,36,13
7150,35,13
7250,43,16
7700,35,13
7900,41,15
7950,40,15
8050,47,18
8350,33,12
8550,46,17
8650,38,14
9100,45,17
9250,34,13
9300,36,13
9400,43,16
9650,38,14
9800,38,14
9950,45,17
10100,36,13
10450,34,13
10550,44,17
10650,41,16
10850,38,14
10950,41,16
11000,46,17
11150,41,16
11300,34,13
11500,42,16
11600,36,13
11800,45,17
11900,34,12
12250,37,14
12450,42,16
12550,34,13
12700,34,13
12750,46,17
12950,35,13
13250,39,15
13350,42,16
13500,40,15
13550,41,15
13700,41,15
13750,40,15
13850,38,14
13900,46,17
14050,39,15
14250,43,16
14300,48,18
14550,38,14
14650,45,17
14700,38,14
14750,34,13
14950,48,18
15000,44,17
15100,43,16
15350,46,18
15550,46,18
15650,42,16
15700,46,17
15850,42,16
15900,38,14
16050,46,18
16300,42,16
16350,37,14
16450,43,16
16500,32,12
16600,34,13
16700,32,12
16950,33,12
17000,45,17
17200,34,13
17250,47,18
17500,35,13
17600,44,17
17800,42,16
17950,35,13
18300,33,12
18350,48,18
18400,44,17
18650,38,14
18800,47,18
18950,35,13
19100,35,13
19150,40,15
19250,38,14
19350,48,18
19400,37,14
19550,47,18
19600,40,15
19700,36,14
19950,48,18
20250,42,16
20300,42,16
20350,32,12
20600,34,12
20800,43,16
20850,47,18
21000,34,13
21100,44,17
21300,45,17
21500,37,14
21600,42,16
21700,46,18
21800,41,15
21850,42,16
21900,39,15
22300,48,18
22400,36,13
22500,34,12
22600,39,15
22650,44,17
22750,47,18
22800,46,17
22950,39,15
23100,43,16
23150,35,13
23450,43,16
23550,34,13
23600,47,18
23900,43,16
23950,43,16
24150,36,13
24300,40,15
24450,45,17
24600,46,17
24750,40,15
24850,36,13
25100,34,13
25150,42,16
25200,47,18
25300,37,14
25500,48,18
25900,36,13
26400,48,18
26650,33,12
26850,36,13
27000,37,14
27600,42,16
27900,46,17
27950,48,18
28050,32,12
28150,33,12
28450,45,17
28650,33,12
28700,40,15
28750,33,12
28800,45,17
29150,35,13
29350,37,14
29500,47,18
29600,32,12
29650,44,17
29700,36,13
30350,32,12
30400,33,12
30800,33,12
30950,34,12
31100,33,12
31200,44,17
31400,33,12
31550,34,13
31600,45,17
31750,42,16
32100,35,13
32150,33,12
32200,45,17
32300,42,16
32400,46,18
32450,37,14
32600,38,14
32750,47,18
32800,32,12
32850,37,14
32950,47,18
33000,42,16
33250,41,16
33350,39,15
33700,39,15
33850,36,13
33900,44,17
34100,44,17
34150,33,12
34300,46,17
34350,44,16
34450,47,18
34550,41,16
34600,43,16
34800,36,13
35050,46,18
35550,32,12
35650,34,13
35950,35,13
36000,47,18
36150,44,17
36400,45,17
36450,36,13
36600,40,15
36850,42,16
37100,48,18
37300,44,16
37400,39,15
37550,47,18
37650,46,17
37750,47,18
38050,32,12
38250,48,18
38300,39,15
38350,37,14
38500,38,14
38600,40,15
38800,42,16
39050,43,16
39200,45,17
39250,48,18
39550,38,14
39750,33,12
39850,47,18
39900,47,18
40000,36,13
40100,41,15
40250,34,12
40400,38,14
40650,32,12
40850,37,14
40900,36,13
41050,43,16
41350,33,12
41450,41,16
41500,34,12
41600,38,14
41650,33,12
41750,46,18
42050,40,15
42100,41,15
42200,36,14
42350,46,17
42450,36,13
42600,47,18
42650,43,16
42850,47,18
42950,34,13
43000,38,14
43050,46,17
43200,38,14
43250,39,15
43550,40,15
43650,39,14
43700,48,18
43750,38,14
43900,44,17
44050,37,14
44100,42,16
44200,37,14
44700,39,15
45000,42,16
45200,33,12
45250,47,18
45600,41,15
45750,43,16
45800,37,14
45850,47,18
45950,46,17
46200,34,13
46300,32,12
46350,39,14
46400,44,17
46600,35,13
46850,36,13
46950,43,16
47000,40,15
47150,46,17
47350,32,12
47700,35,13
47800,37,14
47850,38,14
48050,44,17
48100,40,15
48250,42,16
48450,47,18
48900,45,17
48950,36,13
49000,34,12
49250,35,13
49300,39,14
49350,32,12
49400,40,15
49500,41,15
49600,33,12
49700,48,18
49750,35,13
49800,48,18
49850,44,17
50050,35,13
50150,38,14
50200,32,12
50400,36,14
50600,35,13
50700,46,17
50750,48,18
50850,43,16
51050,37,14
51100,34,13
51250,36,13
51300,46,17
51350,47,18
51450,37,14
51600,38,14
51850,32,12
51900,32,12
51950,46,17
52050,41,15
52200,36,13
52350,43,16
52400,47,18
52500,33,12
52700,44,17
52850,42,16
53050,44,17
53100,48,18
53250,47,18
53350,35,13
53400,33,12
53500,36,14
53550,39,15
53750,41,15
53800,33,12
53850,45,17
53950,46,17
54000,36,13
54100,33,12
54400,41,15
54500,43,16
54700,43,16
54800,35,13
55000,39,15
55300,33,12
55350,46,17
55400,38,14
55550,40,15
55650,44,17
55800,34,12
55850,40,15
55950,32,12
56000,34,12
56100,43,16
56800,43,16
56900,33,12
56950,37,14
57000,36,13
57100,36,14
57150,43,16
57350,39,15
57450,46,18
57600,32,12
57650,40,15
57800,35,13
57900,46,18
58050,45,17
58100,37,14
58250,45,17
58350,40,15
58600,41,15
58650,44,17
58700,48,18
58850,37,14
58950,46,18
59050,41,16
59100,39,15
59250,39,15
59350,48,18
59400,47,18
59550,36,13
59600,36,13
59650,36,13
60100,45,17
60150,43,16
60200,33,12
60300,34,13
60450,45,17
60500,46,17
60900,32,12
61500,40,15
61550,41,15
61600,48,18
61700,39,15
61850,33,12
61900,45,17
62150,43,16
62250,44,16
62300,36,13
62400,36,13
62450,32,12
62700,32,12
63050,44,17
63100,36,13
63150,41,16
63250,45,17
63350,33,12
63450,45,17
63500,45,17
63550,34,12
63600,42,16
63650,46,17
63750,37,14
63800,38,14
64050,38,14
64300,35,13
64500,42,16
64550,36,13
64600,45,17
64650,33,12
64700,43,16
64900,48,18
64950,39,15
65200,44,17
65250,48,18
65300,48,18
65350,44,17
65400,40,15
65450,35,13
65550,33,12
65650,47,18
65800,44,17
