CreateTime,Duration,MaxWaitingTime
350,32,8
600,45,11
650,43,11
900,39,10
1500,36,9
1550,44,11
1650,36,9
2200,32,8
2350,41,10
2400,47,12
2500,45,11
2550,48,12
2650,37,9
2950,32,8
3000,48,12
3100,33,8
3150,47,12
3200,41,10
3250,44,11
3350,34,8
3400,44,11
3600,34,8
3850,46,12
4000,41,10
4350,39,10
4400,41,10
4500,36,9
4600,33,8
4650,38,10
4850,38,9
4900,44,11
5150,46,12
5500,35,9
5600,43,11
5800,35,8
5900,40,10
6100,42,11
6150,36,9
6200,36,9
6300,38,9
6350,38,9
6450,39,10
6700,35,9
6800,44,11
6900,35,8
6950,48,12
7050,45,12
7100,35,9
7350,40,10
7450,46,12
7500,36,9
7550,33,8
7650,34,8
7750,36,9
7800,35,9
7900,47,12
8050,47,12
8100,34,8
8200,48,12
8250,44,11
8600,40,10
8650,35,8
8700,42,11
8950,35,9
9000,34,8
9500,47,12
9600,44,11
10000,43,11
10200,45,12
10250,39,10
10500,39,10
10750,42,11
10800,37,9
10950,37,9
11000,44,11
11250,36,9
11300,47,12
11350,33,8
11450,38,9
11550,39,10
11650,44,11
11700,32,8
11800,41,10
11850,41,10
12400,33,8
12550,43,11
12700,44,11
12850,48,12
12950,39,10
13200,36,9
13500,41,10
13550,40,10
13900,37,9
13950,40,10
14000,47,12
14250,35,8
14300,46,12
14350,48,12
14550,41,10
14600,36,9
14750,36,9
14850,34,8
14900,38,9
15300,32,8
15400,39,10
15500,42,11
15750,44,11
15800,45,11
15950,40,10
16000,47,12
16150,48,12
16400,46,12
16450,45,11
16600,40,10
17100,48,12
17200,39,10
17300,42,11
17350,33,8
17400,33,8
17600,40,10
17750,35,9
17950,44,11
18200,35,9
18350,40,10
18450,47,12
18550,47,12
18650,37,9
18750,45,12
18800,39,10
18850,41,10
18950,39,10
19150,47,12
19450,41,10
19750,33,8
19950,35,9
20050,42,10
20150,43,11
20300,41,10
20400,33,8
20600,40,10
20750,47,12
21100,47,12
21150,39,10
21350,40,10
21450,36,9
21500,44,11
21700,44,11
21850,45,11
21900,41,10
22050,39,10
22100,41,10
22150,45,11
22500,47,12
22600,33,8
22750,32,8
22800,40,10
23050,48,12
23100,46,12
23400,34,8
23600,40,10
23900,37,9
23950,48,12
24150,38,9
24200,48,12
24350,40,10
24400,33,8
24450,36,9
24500,43,11
24650,36,9
24850,38,9
24900,45,11
24950,33,8
25150,48,12
25250,42,11
25350,41,10
25400,36,9
25550,36,9
25600,44,11
25750,35,9
25900,35,8
26000,35,9
