CreateTime,Duration,MaxWaitingTime
0,6,6
12,6,6
25,5,5
37,4,4
50,6,6
60,6,6
70,4,4
80,6,6
90,4,4
100,5,5
125,4,4
150,4,4
162,6,6
175,4,4
187,4,4
200,6,6
210,5,5
220,5,5
230,6,6
240,4,4
250,4,4
275,5,5
300,5,5
316,4,4
333,6,6
350,5,5
362,4,4
375,5,5
387,4,4
400,5,5
412,5,5
425,5,5
437,4,4
450,6,6
475,4,4
500,5,5
525,4,4
550,4,4
566,4,4
583,4,4
600,6,6
616,6,6
633,4,4
650,6,6
660,5,5
670,5,5
680,5,5
690,6,6
700,5,5
725,5,5
750,5,5
775,6,6
800,6,6
825,4,4
850,5,5
860,4,4
870,5,5
880,4,4
890,5,5
900,4,4
925,5,5
950,5,5
966,6,6
983,6,6
1000,6,6
1012,6,6
1025,4,4
1037,6,6
1050,4,4
1075,5,5
1100,6,6
1125,5,5
1150,4,4
1162,6,6
1175,5,5
1187,5,5
1200,5,5
1216,6,6
1233,5,5
1250,4,4
1266,4,4
1283,4,4
1300,4,4
1316,6,6
1333,6,6
1350,6,6
1362,5,5
1375,4,4
1387,5,5
1400,6,6
1450,6,6
1462,6,6
1475,5,5
1487,4,4
1500,5,5
1525,4,4
1550,6,6
1562,5,5
1575,6,6
1587,6,6
1600,5,5
1616,5,5
1633,6,6
1650,6,6
1666,5,5
1683,6,6
1700,6,6
1712,6,6
1725,6,6
1737,6,6
1750,6,6
1762,6,6
1775,6,6
1787,4,4
1800,4,4
1812,5,5
1825,5,5
1837,4,4
1850,6,6
1900,4,4
1950,4,4
1975,6,6
2000,5,5
2012,5,5
2025,6,6
2037,6,6
2050,6,6
2062,4,4
2075,5,5
2087,4,4
2100,5,5
2116,4,4
2133,6,6
2150,6,6
2160,5,5
2170,5,5
2180,5,5
2190,5,5
2200,4,4
2210,4,4
2220,4,4
2230,5,5
2240,4,4
2250,5,5
2275,6,6
2300,4,4
2310,4,4
2320,5,5
2330,6,6
2340,6,6
2350,6,6
2375,6,6
2400,5,5
2425,6,6
2450,6,6
2462,5,5
2475,6,6
2487,5,5
2500,4,4
2516,6,6
2533,6,6
2550,5,5
