CreateTime,Duration,MaxWaitingTime
0,4,13
7,6,17
14,6,17
21,5,14
28,5,15
35,5,14
42,5,16
50,5,15
58,5,15
66,4,13
75,4,13
83,5,16
91,6,17
99,4,12
100,5,15
110,4,12
120,5,14
130,4,12
140,5,16
150,6,18
158,6,17
166,6,18
175,6,18
183,6,18
191,5,14
199,5,15
200,5,16
208,4,12
216,5,16
225,5,15
233,5,16
241,5,16
249,5,15
250,6,16
258,4,14
266,6,17
275,6,17
283,4,14
291,5,15
299,6,18
300,4,14
310,6,18
320,6,18
330,5,15
340,5,14
350,4,14
358,4,12
366,6,17
375,6,18
383,6,18
391,4,14
399,4,13
400,4,13
412,4,13
425,4,13
437,5,14
450,6,17
462,6,18
475,6,18
487,4,12
500,6,17
507,5,15
514,6,17
521,4,12
528,5,15
535,5,16
542,4,12
550,4,13
562,6,17
575,6,16
587,4,14
600,4,12
610,5,16
620,6,17
630,5,16
640,6,17
650,6,18
658,5,14
666,5,15
675,4,12
683,5,14
691,6,18
699,4,12
700,6,16
712,4,13
725,5,15
737,5,14
750,4,13
760,5,15
770,6,18
780,6,18
790,6,18
800,4,14
816,5,15
833,4,12
850,6,17
860,4,12
870,6,18
880,6,18
890,6,17
900,4,13
906,6,18
912,6,18
918,4,14
925,5,16
931,4,13
937,5,15
943,5,15
950,5,16
958,4,14
966,5,14
975,5,15
983,5,14
991,6,18
999,5,16
1000,6,18
1010,5,14
1020,4,13
1030,6,18
1040,4,12
1050,4,13
1057,6,18
1064,5,16
1071,6,18
1078,6,17
1085,5,15
1092,6,17
1100,4,13
1110,6,16
1120,6,17
1130,6,16
1140,4,12
1150,5,15
1162,6,17
1175,6,17
1187,5,15
1200,6,18
1210,6,17
1220,4,12
1230,6,18
1240,6,18
1250,6,18
1262,5,16
1275,4,13
1287,5,15
1300,5,15
1307,5,15
1314,5,14
1321,6,17
1328,4,12
1335,5,14
1342,6,18
1350,4,12
1358,6,17
1366,5,16
1375,4,14
1383,4,14
1391,4,12
1399,5,15
1400,4,13
1407,5,14
1414,5,14
1421,6,17
1428,6,17
1435,5,16
1442,5,14
1450,6,18
1460,5,16
1470,4,12
1480,4,13
1490,6,18
1500,5,16
1508,4,12
1516,6,18
1525,4,13
