CreateTime,Duration,MaxWaitingTime
0,4,9
10,5,10
20,4,8
30,6,12
40,4,8
50,4,8
62,5,10
75,4,9
87,5,9
100,5,10
108,4,8
116,6,12
125,6,12
133,5,10
141,4,8
149,5,10
150,6,12
162,5,10
175,5,10
187,6,11
200,5,10
205,4,8
211,4,9
216,4,8
222,5,10
227,4,9
233,6,12
238,6,11
244,6,12
250,4,9
266,5,10
283,5,11
300,4,9
316,6,12
333,6,11
350,6,11
362,4,8
375,4,9
387,5,10
400,5,9
410,5,10
420,4,9
430,5,10
440,5,10
450,4,8
466,5,10
483,5,10
500,4,9
510,5,9
520,4,8
530,4,9
540,4,9
550,6,12
566,4,9
583,5,10
600,4,8
608,4,9
616,6,12
625,5,10
633,6,12
641,4,9
649,6,11
650,4,9
660,4,8
670,6,12
680,5,10
690,6,11
700,4,8
716,6,12
733,5,10
750,4,9
758,5,10
766,4,8
775,4,8
783,4,9
791,4,9
799,5,10
800,6,12
812,4,8
825,6,12
837,6,12
850,5,11
860,5,9
870,6,12
880,4,8
890,4,9
900,6,11
925,6,12
950,4,9
958,5,10
966,5,10
975,4,8
983,6,12
991,5,10
999,4,8
1000,5,11
1025,6,12
1050,5,9
1060,5,10
1070,5,10
1080,6,12
1090,5,9
1100,5,9
1106,6,12
1112,6,12
1118,5,11
1125,4,9
1131,6,11
1137,4,8
1143,5,9
1150,5,10
1160,5,9
1170,6,12
1180,5,10
1190,4,8
1200,6,11
1212,5,10
1225,5,10
1237,4,8
1250,5,11
1258,6,11
1266,6,11
1275,6,11
1283,5,9
1291,4,8
1299,4,8
1300,6,11
1316,5,10
1333,4,8
1350,5,11
1362,4,9
1375,4,8
1387,4,9
1400,5,10
1410,4,8
1420,5,10
1430,4,9
1440,5,10
1450,4,8
1458,5,9
1466,6,12
1475,4,8
1483,6,12
1491,6,12
1499,6,12
1500,4,8
1507,4,9
1514,5,10
1521,5,10
1528,5,9
1535,4,9
1542,5,10
1550,5,9
1566,6,12
1583,6,12
1600,4,8
1610,5,11
1620,4,8
1630,6,12
1640,6,11
1650,6,12
1658,6,11
1666,5,10
1675,5,9
1683,4,8
1691,5,9
1699,4,8
1700,4,9
1708,4,9
1716,5,11
1725,5,10
1733,6,12
1741,5,9
1749,6,11
1750,5,11
1766,5,10
1783,6,12
1800,6,12
1816,5,10
1833,6,12
1850,6,11
1858,4,8
1866,4,8
1875,6,11
1883,5,9
1891,6,11
1899,6,12
1900,5,9
1912,6,11
1925,4,8
1937,6,12
1950,4,9
1958,5,10
1966,5,9
1975,5,9
1983,4,9
1991,5,10
1999,5,10
2000,6,12
2010,5,10
2020,4,8
2030,6,12
2040,4,9
2050,6,12
2060,6,12
2070,4,9
2080,4,8
2090,5,11
2100,5,9
2107,4,9
2114,4,8
2121,6,11
2128,5,10
2135,6,12
2142,6,12
2150,6,11
2156,5,11
2162,6,11
2168,6,12
2175,4,9
2181,5,10
2187,6,11
2193,5,11
2200,4,8
2210,6,12
2220,4,8
2230,5,9
2240,6,12
2250,4,9
2262,5,9
2275,4,8
2287,4,9
2300,6,12
2312,6,12
2325,6,12
2337,6,11
2350,6,12
2362,4,9
2375,6,12
2387,4,8
2400,5,11
2416,4,9
2433,4,8
2450,5,10
2466,6,12
2483,4,8
2500,6,11
2510,5,10
2520,5,10
2530,5,10
2540,5,11
2550,6,11
2558,5,10
2566,5,10
2575,6,12
2583,5,9
2591,5,9
2599,4,8
2600,4,8
2610,6,12
2620,6,12
2630,4,8
2640,4,9
2650,6,12
2675,4,9
2700,6,12
2708,6,11
2716,6,11
2725,4,8
2733,4,8
2741,6,12
2749,5,10
2750,6,12
2758,6,12
2766,5,11
2775,5,9
2783,6,11
2791,4,9
2799,4,8
2800,6,11
2816,5,10
2833,6,11
2850,5,10
2875,6,11
2900,6,11
2910,4,9
2920,6,11
2930,5,10
2940,6,12
2950,5,10
2966,5,10
2983,6,12
3000,4,9
3008,4,8
3016,4,8
3025,5,10
3033,6,12
3041,4,8
3049,4,8
3050,4,8
3062,4,9
3075,6,12
3087,5,10
3100,4,9
3110,6,11
3120,4,8
3130,6,12
3140,5,11
3150,6,12
3158,5,11
3166,5,11
3175,4,8
3183,6,12
3191,4,9
3199,5,9
3200,4,8
3207,5,10
3214,5,10
3221,4,9
3228,6,12
3235,4,8
3242,5,9
3250,6,11
3257,5,11
3264,6,11
3271,6,12
3278,4,8
3285,6,12
3292,6,11
3300,4,8
3306,5,10
3312,6,11
3318,4,8
3325,4,8
3331,5,10
3337,5,10
3343,4,9
3350,4,9
3366,6,12
3383,5,10
3400,5,10
3425,4,8
3450,5,10
3458,4,9
3466,6,12
3475,4,9
3483,4,8
3491,4,8
3499,6,11
3500,6,12
3507,6,12
3514,4,9
3521,6,11
3528,4,9
3535,4,8
3542,6,12
3550,4,8
3566,6,12
3583,5,10
3600,6,12
3616,4,8
3633,6,12
3650,6,12
3662,6,11
3675,4,8
3687,6,12
3700,4,8
3710,6,11
3720,6,11
3730,6,12
3740,6,12
3750,4,9
3760,5,10
3770,5,11
3780,5,10
3790,6,12
3800,6,12
3812,5,10
3825,6,11
3837,5,9
3850,6,12
3857,4,8
3864,4,8
3871,6,12
3878,4,9
3885,4,8
3892,6,12
3900,6,11
3910,4,8
3920,5,10
3930,4,9
3940,5,10
3950,6,11
3960,4,8
3970,5,10
3980,5,10
3990,4,9
