CreateTime,Duration,MaxWaitingTime
50,24,18
75,24,18
100,23,17
125,20,15
150,19,14
175,17,12
200,23,17
250,17,13
266,23,17
283,19,14
300,24,18
350,22,17
400,16,12
425,23,18
450,24,18
462,17,13
475,23,17
487,20,15
500,21,16
525,20,15
550,16,12
566,16,12
583,21,16
600,17,13
625,16,12
650,24,18
675,21,16
700,21,16
750,16,12
766,19,14
783,22,17
800,20,15
900,19,14
925,20,15
1000,23,18
1025,17,13
1050,24,18
1075,17,13
1100,20,15
1125,18,14
1150,23,17
1175,23,17
1200,18,13
1225,20,15
1250,16,12
1300,24,18
1316,21,16
1333,20,15
1350,18,13
1375,24,18
1400,17,13
1425,20,15
1450,18,14
1466,23,18
1483,23,17
1550,23,18
1575,19,14
1600,21,16
1625,20,15
1650,20,15
1666,20,15
1683,17,12
1700,16,12
1725,20,15
1750,21,16
1850,20,15
1900,18,14
1950,20,15
1975,16,12
2000,22,17
2016,17,13
2033,21,16
2050,24,18
2100,18,14
2150,22,16
2200,18,13
2250,23,17
2275,16,12
2300,17,13
2350,17,12
2375,19,14
2400,17,13
2425,19,14
2450,17,12
2475,17,13
2500,18,13
2550,17,13
2566,20,15
2583,22,16
2600,24,18
2625,23,17
2650,19,14
2675,22,17
2700,16,12
2725,23,17
2800,22,16
2825,23,17
2850,23,17
2875,24,18
2900,21,16
2925,21,15
2950,16,12
2975,20,15
3000,20,15
3025,23,17
3200,21,16
3300,20,15
3316,16,12
3333,17,13
3350,21,15
3400,16,12
3425,19,14
3450,19,14
3500,18,14
3516,17,12
3533,19,14
3550,22,17
3650,24,18
3675,18,13
3700,19,14
3725,18,13
3750,23,17
3775,23,17
3800,16,12
3816,24,18
3833,23,17
3850,23,18
3875,24,18
3900,20,15
3925,16,12
3950,19,15
3975,16,12
4000,17,12
4025,21,16
4050,21,16
4075,18,14
4100,22,16
4116,24,18
4133,18,14
4150,21,16
4162,22,17
4175,17,13
4187,19,14
4200,17,12
4250,24,18
4300,19,15
4325,24,18
4350,19,14
4375,24,18
4400,19,14
4416,24,18
4433,23,18
4450,20,15
4500,21,15
4525,19,14
4550,22,17
4566,17,13
4583,19,14
4600,20,15
4616,16,12
4633,22,17
4650,20,15
4675,20,15
4700,17,13
4750,17,12
4775,16,12
4800,18,13
4816,23,17
4833,22,17
4850,23,17
4900,21,16
4925,22,17
4950,21,16
5000,21,16
5025,21,16
5050,16,12
5066,19,15
5083,22,17
5100,16,12
5150,20,15
5175,23,17
5200,19,15
5216,16,12
5233,16,12
5250,16,12
5300,21,15
5316,20,15
5333,21,15
5350,18,13
5400,23,17
5416,17,12
5433,18,14
5450,20,15
5550,18,14
5600,24,18
5650,17,13
5675,22,16
5700,17,13
5750,24,18
5775,24,18
5800,17,13
5850,17,13
5875,22,16
5900,16,12
5916,22,17
5933,18,13
5950,18,13
5966,24,18
5983,24,18
6050,18,14
6100,19,14
6125,20,15
6150,18,14
6166,24,18
6183,17,13
6200,18,14
6250,20,15
6300,19,15
6325,17,12
6350,20,15
6375,20,15
6400,22,16
6425,21,16
6450,24,18
6466,22,16
6483,19,14
6500,18,13
6525,18,14
6550,22,16
6600,19,14
6616,19,14
6633,17,13
6650,22,17
6675,17,13
6700,18,14
6750,21,16
6800,22,17
6825,24,18
6850,18,14
6900,23,17
6950,18,14
7000,20,15
7025,21,16
7050,24,18
7100,20,15
7112,21,16
7125,24,18
7137,20,15
7150,16,12
7175,21,16
7200,22,17
7216,18,13
7233,16,12
7300,19,15
7325,19,14
7350,20,15
7375,20,15
7400,22,17
7425,19,15
7450,19,14
7475,24,18
7550,24,18
7600,18,13
7700,20,15
7716,24,18
7733,17,12
7750,22,17
7766,17,13
7783,21,16
7850,21,15
7866,20,15
7883,20,15
7900,17,12
7916,19,14
7933,18,13
7950,16,12
8000,16,12
8025,22,16
8050,20,15
8066,16,12
8083,19,14
8100,22,17
8116,17,13
8133,16,12
8150,22,16
8200,16,12
8216,17,12
8233,18,14
8250,23,17
8300,23,17
8350,16,12
8375,16,12
8400,20,15
8450,24,18
8500,23,17
8525,19,14
8550,18,13
8575,17,12
8650,24,18
8700,19,14
8750,24,18
8800,23,17
8812,24,18
8825,20,15
8837,16,12
8900,17,13
8925,17,12
8950,22,17
9050,17,13
9075,19,14
9100,20,15
9125,23,18
9150,18,13
9200,19,14
9216,24,18
9233,17,13
9300,22,17
9325,17,13
9350,23,17
9375,23,18
9400,24,18
9412,19,15
9425,19,14
9437,23,17
9500,20,15
9525,20,15
9550,16,12
9575,18,13
9600,20,15
9625,23,17
9650,22,17
9675,24,18
9700,22,17
9725,17,13
9750,16,12
9850,21,16
9875,23,18
9900,22,16
9925,24,18
9950,20,15
10000,24,18
10025,19,14
10050,16,12
10075,19,14
10100,18,14
10150,18,13
10175,22,17
10200,17,12
10216,24,18
10233,21,16
10250,22,16
10262,16,12
10275,18,14
10287,16,12
10300,19,14
10316,20,15
10333,19,15
10350,16,12
10450,16,12
10475,20,15
10500,17,13
10516,24,18
10533,18,13
10550,19,14
10575,21,16
10600,20,15
10612,17,12
10625,16,12
10637,18,14
10650,19,14
10700,18,14
10716,16,12
10733,17,13
10750,19,14
10775,24,18
10800,21,16
10850,19,14
10875,24,18
10900,20,15
10916,17,13
10933,23,17
10950,24,18
10975,18,14
11050,23,17
11066,17,13
11083,22,16
11100,21,16
11150,21,16
11200,23,17
11216,21,16
11233,17,13
11250,23,17
11262,21,16
11275,19,14
11287,18,13
11300,16,12
11325,17,13
11350,22,17
11375,22,17
11400,22,17
11416,16,12
11433,21,16
11450,23,17
11462,20,15
11475,19,14
11487,21,16
11500,23,17
11600,24,18
11625,17,12
11650,23,17
11675,17,12
11700,20,15
11725,20,15
11800,23,18
11825,22,17
11850,18,14
11875,21,16
11900,19,14
11916,17,13
11933,24,18
11950,24,18
12000,20,15
12016,18,14
12033,22,16
12050,17,13
12066,20,15
12083,19,14
12100,23,17
12150,16,12
12200,24,18
12225,19,14
12250,21,16
12300,17,13
12350,22,17
12400,16,12
12416,17,13
12433,16,12
12450,23,17
12475,20,15
12500,20,15
12550,23,17
12600,22,16
12625,20,15
12650,16,12
12675,20,15
12700,22,16
12725,18,13
12750,22,17
12775,22,16
12850,24,18
12900,19,14
12925,22,17
12950,20,15
12975,23,17
13000,23,18
13025,21,16
13050,18,14
13075,17,12
13100,18,14
13150,23,17
13175,18,13
13200,16,12
13250,24,18
13275,17,13
13300,19,14
13350,20,15
13375,18,13
13400,23,17
13425,22,17
13450,21,16
13475,18,13
13500,23,17
13550,24,18
13600,22,16
13625,17,13
13650,17,13
13666,24,18
13683,18,14
13700,17,13
13725,20,15
13750,18,13
13766,21,16
13783,17,12
13800,16,12
13816,20,15
13833,22,16
13900,17,12
13916,19,14
13933,23,18
13950,20,15
14000,23,17
14025,24,18
14050,20,15
14100,21,16
14125,18,14
14150,22,17
14200,23,17
14225,19,14
14250,21,16
