CreateTime,Duration,MaxWaitingTime
0,16,8
25,19,10
50,24,12
66,23,12
83,16,8
100,18,9
150,22,11
200,23,12
225,20,10
250,16,8
275,16,8
300,20,10
325,24,12
350,22,11
400,19,9
425,22,11
450,21,11
500,23,11
510,16,8
520,24,12
530,22,11
540,19,10
550,19,9
566,17,8
583,16,8
600,17,8
616,20,10
633,18,9
650,17,8
666,18,9
683,18,9
700,24,12
716,20,10
733,19,10
800,16,8
825,16,8
850,24,12
875,23,11
900,24,12
925,24,12
950,16,8
975,22,11
1000,20,10
1016,17,8
1033,22,11
1050,23,12
1062,21,11
1075,18,9
1087,24,12
1100,22,11
1112,22,11
1125,22,11
1137,24,12
1150,22,11
1175,22,11
1200,21,11
1225,16,8
1250,23,12
1266,23,11
1283,24,12
1300,23,11
1312,20,10
1325,22,11
1337,18,9
1350,23,11
1366,17,8
1383,16,8
1400,21,10
1425,21,11
1450,18,9
1500,23,12
1525,23,12
1550,24,12
1600,16,8
1612,24,12
1625,16,8
1637,24,12
1650,17,9
1666,20,10
1683,17,9
1700,20,10
1716,18,9
1733,19,9
1750,20,10
1775,21,10
1800,20,10
1900,16,8
1925,22,11
1950,21,11
2000,20,10
2100,16,8
2116,16,8
2133,24,12
2150,16,8
2175,17,8
2200,21,10
2250,16,8
2266,17,9
2283,19,9
2300,20,10
2325,23,12
2350,16,8
2400,21,11
2412,21,10
2425,23,12
2437,23,12
2450,23,12
2466,23,12
2483,23,12
2500,22,11
2525,22,11
2550,23,12
2575,19,9
2600,21,10
2612,19,9
2625,21,10
2637,16,8
2650,18,9
2662,22,11
2675,18,9
2687,17,8
2700,18,9
2725,24,12
2750,17,9
2775,18,9
2800,22,11
2825,23,12
2850,24,12
2875,23,12
2900,18,9
2925,24,12
2950,23,11
3000,23,12
3016,24,12
3033,19,9
3050,20,10
3066,21,11
3083,23,12
3100,21,11
3116,22,11
3133,22,11
3150,17,8
3166,23,12
3183,23,12
3200,22,11
3225,17,8
3250,22,11
3300,19,10
3325,21,11
3350,21,11
3366,20,10
3383,23,12
3400,20,10
3412,17,8
3425,19,9
3437,20,10
3500,16,8
3516,19,10
3533,18,9
3550,16,8
3566,16,8
3583,24,12
3600,24,12
3625,20,10
3650,23,12
3675,24,12
3700,24,12
3716,19,10
3733,17,8
3750,24,12
3800,24,12
3812,18,9
3825,21,10
3837,24,12
3850,20,10
3875,24,12
3900,20,10
3925,16,8
3950,19,10
3975,17,8
4000,16,8
4016,20,10
4033,18,9
4050,18,9
4066,23,12
4083,16,8
4100,18,9
4116,22,11
4133,21,10
4150,24,12
4175,19,9
4200,17,9
4225,20,10
4250,21,10
4262,22,11
4275,23,11
4287,17,8
4300,18,9
4325,16,8
4350,23,12
4366,17,8
4383,19,9
4400,17,9
4416,22,11
4433,22,11
4450,18,9
4466,18,9
4483,21,10
4500,21,11
4550,19,9
4566,16,8
4583,24,12
4600,24,12
4625,17,8
4650,16,8
4662,21,10
4675,21,11
4687,22,11
4700,22,11
4750,22,11
4800,21,11
4850,18,9
4866,23,12
4883,18,9
4900,21,10
4912,22,11
4925,22,11
4937,16,8
4950,18,9
5000,22,11
5025,23,12
5050,17,8
5100,16,8
5125,21,10
5150,24,12
5175,22,11
5200,18,9
5225,21,11
5250,20,10
5266,21,10
5283,23,12
5300,22,11
5325,16,8
5400,17,9
5425,24,12
5500,19,9
5525,17,9
5550,19,9
5575,20,10
5600,17,8
5650,17,8
5666,20,10
5683,21,11
5700,18,9
5725,18,9
5750,23,12
5775,20,10
5800,24,12
5816,16,8
5833,24,12
5850,20,10
5862,18,9
5875,19,9
5887,23,12
5900,21,10
5916,23,12
5933,24,12
5950,19,10
5966,18,9
5983,19,9
6000,18,9
6050,16,8
6075,17,9
6100,17,8
6150,24,12
6175,24,12
6200,18,9
6216,21,11
6233,19,9
6250,17,8
6275,20,10
6300,19,9
6350,20,10
6400,16,8
6416,21,11
6433,19,9
6450,21,10
6500,23,12
6516,19,9
6533,16,8
6550,17,8
6562,18,9
6575,20,10
6587,21,10
6600,17,8
6625,20,10
6650,19,9
6700,17,8
6750,21,11
6775,16,8
6800,20,10
6825,23,12
6850,17,8
6900,17,8
6916,23,12
6933,17,8
7000,18,9
7016,20,10
7033,18,9
7050,18,9
7075,21,10
7100,24,12
7125,20,10
7150,24,12
7166,19,10
7183,16,8
7200,23,11
7225,18,9
7250,18,9
7266,17,9
7283,18,9
7350,16,8
7362,16,8
7375,17,8
7387,17,9
7450,16,8
7475,20,10
7500,21,11
7600,24,12
7625,19,10
7650,21,11
7675,17,8
7700,24,12
7725,18,9
7750,22,11
7775,22,11
7850,18,9
7866,18,9
7883,18,9
7900,20,10
7916,17,8
7933,16,8
7950,20,10
7975,16,8
8000,20,10
8012,18,9
8025,22,11
8037,21,10
8050,17,8
8075,16,8
8100,22,11
8116,16,8
8133,24,12
8150,19,10
8175,23,11
8200,19,9
8216,22,11
8233,24,12
8250,24,12
8266,23,12
8283,21,11
8300,21,11
8316,20,10
8333,23,12
8350,21,11
8375,20,10
8400,24,12
8425,18,9
8450,17,9
8500,22,11
8550,23,12
8562,20,10
8575,16,8
8587,23,11
8600,16,8
8616,17,8
8633,20,10
8650,24,12
8675,22,11
8700,24,12
8725,18,9
8750,24,12
8800,20,10
8825,24,12
8850,21,11
8862,21,10
8875,18,9
8887,21,10
8900,20,10
8925,18,9
8950,24,12
8962,18,9
8975,18,9
8987,19,10
9000,23,12
9100,20,10
9125,21,10
9150,22,11
9200,20,10
9216,16,8
9233,19,9
9250,20,10
9266,19,9
9283,19,10
9300,18,9
9350,18,9
9400,16,8
9425,17,8
9450,19,9
9462,21,11
9475,23,12
9487,22,11
9500,18,9
9516,16,8
9533,20,10
9550,22,11
9566,17,8
9583,21,10
9600,18,9
9650,16,8
9675,17,9
9700,19,9
9716,22,11
9733,24,12
9750,22,11
9766,20,10
9783,17,8
9800,21,10
9816,24,12
9833,21,10
9850,21,11
9900,23,12
9912,20,10
9925,21,11
9937,21,11
9950,22,11
10000,20,10
10025,16,8
10050,22,11
10066,19,9
10083,20,10
10100,17,8
10150,17,9
10200,24,12
10250,20,10
10300,18,9
10350,16,8
10400,18,9
10416,24,12
10433,17,8
10450,19,9
10460,16,8
10470,20,10
10480,19,10
10490,23,12
10500,24,12
10525,23,12
10550,20,10
10566,22,11
10583,22,11
10600,16,8
10700,20,10
10725,17,9
10750,22,11
10775,16,8
10850,24,12
10862,18,9
10875,21,10
10887,19,9
10900,22,11
10916,17,8
10933,16,8
10950,23,12
11000,23,12
11050,20,10
11060,16,8
11070,17,8
11080,23,11
11090,19,9
11100,20,10
11150,19,10
11166,24,12
11183,21,11
11200,22,11
11250,18,9
11275,21,10
11300,19,10
11316,16,8
11333,23,12
11350,21,11
11362,24,12
11375,16,8
11387,19,9
11400,24,12
11412,18,9
11425,16,8
11437,24,12
11450,20,10
11462,24,12
11475,20,10
11487,16,8
11500,20,10
11550,24,12
11600,17,8
11616,16,8
11633,18,9
11650,17,8
11666,21,10
11683,24,12
11700,22,11
11725,23,12
11750,16,8
11775,16,8
11800,18,9
11816,18,9
11833,17,8
11850,23,11
11875,20,10
11900,20,10
11950,19,10
12000,20,10
12025,17,8
12050,22,11
12075,22,11
12100,23,12
12125,16,8
12150,22,11
12175,23,12
12200,21,10
12216,20,10
12233,17,8
12250,22,11
12266,24,12
12283,23,12
12300,20,10
12325,24,12
12350,24,12
12400,20,10
12450,22,11
12466,16,8
12483,19,10
12500,23,12
12512,17,8
12525,16,8
12537,23,11
12550,24,12
12600,24,12
12625,16,8
12650,21,11
12666,16,8
12683,18,9
12700,19,10
12716,24,12
12733,20,10
12750,24,12
12766,23,12
12783,22,11
12800,17,8
12825,18,9
12850,24,12
12866,20,10
12883,18,9
12900,16,8
12910,19,10
12920,20,10
12930,17,8
12940,17,8
12950,17,9
12975,22,11
13050,19,9
13075,17,9
13150,18,9
13175,23,12
13200,20,10
13250,24,12
13266,22,11
13283,24,12
13300,21,11
13325,24,12
13350,24,12
13375,16,8
13400,21,11
13425,18,9
13450,20,10
13466,17,9
13483,22,11
13500,22,11
13525,19,10
13550,24,12
13566,21,11
13583,17,8
13600,23,12
13612,17,8
13625,22,11
13637,20,10
13650,17,8
13662,23,12
13675,22,11
13687,21,10
13700,21,10
13725,22,11
13750,23,11
13775,19,9
13800,18,9
13850,23,12
13875,24,12
13900,21,11
13916,20,10
13933,20,10
13950,18,9
13966,23,12
13983,16,8
14000,17,8
14050,19,10
14100,24,12
14150,23,12
14166,16,8
14183,20,10
14200,17,9
14216,23,11
14233,20,10
14250,22,11
14262,18,9
14275,17,8
14287,17,9
14300,19,9
14325,16,8
14350,16,8
14400,24,12
14425,23,12
14450,24,12
14466,17,9
14483,16,8
14500,19,9
14516,17,8
14533,18,9
14550,18,9
14566,24,12
14583,21,11
14600,18,9
14625,17,8
14650,17,9
14675,23,12
14700,21,11
14716,22,11
14733,16,8
14750,22,11
14775,22,11
14800,23,12
14816,22,11
14833,17,8
14850,19,9
14875,20,10
14900,23,11
14950,17,8
15000,16,8
15012,20,10
15025,17,8
15037,16,8
15050,20,10
15150,23,12
15166,20,10
15183,21,10
15200,22,11
15225,19,9
15250,22,11
15266,16,8
15283,23,11
15300,18,9
15325,21,10
15350,20,10
15375,16,8
15400,23,12
15450,24,12
15466,21,11
15483,18,9
15500,23,12
15550,21,11
15566,19,10
15583,17,8
15600,22,11
15650,19,9
15675,18,9
15700,17,8
15725,21,11
15750,21,10
15775,21,11
15800,18,9
15812,18,9
15825,16,8
15837,23,12
15850,17,8
15875,24,12
15900,17,8
15950,19,9
15975,21,11
16000,21,11
16050,17,8
16100,18,9
16112,16,8
16125,16,8
16137,24,12
16150,20,10
16166,17,9
16183,18,9
16200,16,8
16250,20,10
16262,21,10
16275,17,8
16287,23,12
16300,17,8
16325,23,12
16350,22,11
16400,24,12
16416,23,12
16433,20,10
16500,17,8
16525,19,9
16550,16,8
16566,23,11
16583,16,8
16600,22,11
16650,20,10
16675,17,8
16750,23,11
16775,19,9
16800,16,8
16816,22,11
16833,21,11
16850,24,12
16866,21,11
16883,22,11
16900,19,9
16916,19,9
16933,16,8
16950,22,11
16975,23,12
17000,16,8
17012,24,12
17025,20,10
17037,16,8
17050,16,8
17075,17,8
17100,19,10
17116,24,12
17133,16,8
17150,19,9
17175,16,8
17200,18,9
17225,23,12
17250,20,10
17275,18,9
17300,16,8
17316,20,10
17333,16,8
17350,19,9
17400,19,9
17416,18,9
17433,19,10
17450,24,12
17500,24,12
17525,22,11
17550,24,12
17575,17,8
17650,18,9
17666,20,10
17683,19,10
17700,19,9
17750,24,12
17775,16,8
17800,22,11
17816,16,8
17833,20,10
17850,20,10
17900,22,11
17925,24,12
17950,20,10
17966,17,8
17983,18,9
18000,23,11
18016,24,12
18033,16,8
18050,20,10
18075,22,11
18100,20,10
18112,19,9
18125,21,10
18137,23,12
18150,19,9
18200,21,11
18216,19,10
18233,20,10
18250,21,11
18275,16,8
18300,20,10
18325,18,9
18350,17,8
18362,24,12
18375,17,8
18387,19,9
18400,21,10
18416,24,12
18433,16,8
18450,17,8
18475,17,8
18500,19,9
18512,23,11
18525,21,11
18537,22,11
18550,17,8
18562,23,12
18575,18,9
18587,16,8
18600,21,11
18612,24,12
18625,24,12
18637,18,9
18650,17,8
18666,22,11
18683,23,12
18700,24,12
18750,21,10
18775,16,8
18800,18,9
18850,21,11
18866,17,8
18883,20,10
18900,20,10
18916,24,12
18933,19,10
18950,22,11
18966,21,11
18983,24,12
19000,23,12
19025,18,9
19050,24,12
19075,24,12
19100,18,9
19112,21,10
19125,17,8
19137,21,10
19150,24,12
19200,17,8
19216,17,9
19233,23,11
19250,17,8
19300,20,10
19316,16,8
19333,16,8
19350,21,11
19366,24,12
19383,24,12
19400,18,9
19500,18,9
19550,20,10
19575,24,12
19600,24,12
19612,23,12
19625,20,10
19637,16,8
19650,24,12
19700,18,9
19712,21,11
19725,18,9
19737,19,9
19750,18,9
19766,18,9
19783,17,8
19800,19,10
19825,24,12
19850,24,12
19875,16,8
19900,21,10
19916,21,10
19933,18,9
19950,24,12
19962,20,10
19975,23,12
19987,20,10
20000,20,10
20016,21,11
20033,19,10
20050,19,9
20075,18,9
20100,19,10
20125,23,12
20150,19,9
20175,21,11
20200,19,10
20216,18,9
20233,16,8
20250,17,8
20266,22,11
20283,20,10
20300,18,9
20350,18,9
20366,18,9
20383,23,11
20400,23,12
20412,20,10
20425,24,12
20437,19,9
20450,21,10
20466,17,8
20483,22,11
20500,24,12
20516,19,9
20533,22,11
20550,16,8
20575,20,10
20650,20,10
20675,17,8
20700,18,9
20716,16,8
20733,19,10
20800,20,10
20816,24,12
20833,19,9
20850,23,12
20900,20,10
20916,23,12
20933,22,11
20950,22,11
20975,17,8
21000,23,12
21016,23,11
21033,18,9
21050,16,8
21066,19,9
21083,24,12
21100,22,11
21125,21,11
21150,24,12
21175,24,12
21200,21,10
21216,18,9
21233,23,12
21250,17,8
21275,21,11
21300,20,10
21325,20,10
21350,22,11
21366,20,10
21383,24,12
21400,22,11
21416,24,12
21433,23,12
21450,22,11
21475,16,8
21550,22,11
21650,18,9
21666,24,12
21683,24,12
21700,18,9
21716,22,11
21733,17,9
21750,21,10
21775,19,9
21800,18,9
21825,24,12
21850,22,11
21866,18,9
21883,19,9
21900,16,8
21916,23,12
21933,24,12
21950,17,8
21966,19,9
21983,20,10
22000,17,8
22025,21,11
22050,23,11
22075,22,11
22100,19,10
22112,16,8
22125,17,8
22137,17,8
22150,23,12
22175,20,10
22200,24,12
22216,24,12
22233,21,10
22250,24,12
22262,21,10
22275,22,11
22287,22,11
22300,22,11
22316,21,11
22333,18,9
22350,19,9
22366,22,11
22383,19,10
22400,23,12
22450,22,11
22460,22,11
22470,17,8
22480,19,9
22490,20,10
22500,17,8
22516,22,11
22533,23,12
22550,19,10
22575,18,9
22600,24,12
22650,17,8
22675,20,10
22700,17,9
22716,20,10
22733,18,9
22750,20,10
22766,16,8
22783,22,11
22800,23,12
22850,19,9
22875,24,12
22900,17,8
22912,19,9
22925,22,11
22937,19,9
23050,16,8
23062,17,8
23075,20,10
23087,16,8
23100,16,8
23125,20,10
23150,17,8
23166,24,12
23183,16,8
23250,21,11
23266,24,12
23283,23,12
23300,21,11
23312,22,11
23325,22,11
23337,17,8
23350,20,10
23375,18,9
23400,16,8
23416,20,10
23433,17,8
23450,20,10
23475,18,9
23500,19,9
23512,23,11
23525,18,9
23537,24,12
23550,21,10
23575,20,10
23600,22,11
23616,21,11
23633,23,11
23650,21,11
23675,16,8
23700,16,8
23725,21,11
23750,19,9
23766,18,9
23783,17,8
23800,20,10
23812,24,12
23825,21,10
23837,17,8
23850,23,12
23866,19,9
23883,21,11
23900,19,10
23916,16,8
23933,17,8
23950,18,9
23975,19,10
24000,23,12
24050,19,9
24075,18,9
24100,17,9
24112,21,11
24125,24,12
24137,16,8
24150,18,9
24166,23,11
24183,20,10
24200,21,11
24216,20,10
24233,19,9
24250,16,8
24275,17,8
24300,17,9
24325,21,10
24350,21,11
24362,17,8
24375,22,11
24387,17,8
24400,17,8
24416,20,10
24433,21,10
24450,21,11
24500,19,9
24525,19,9
24550,16,8
24562,17,8
24575,24,12
24587,23,12
24600,19,10
24625,17,8
24650,18,9
24700,23,11
24716,19,10
24733,19,9
24750,23,12
24762,19,10
24775,22,11
24787,18,9
24800,16,8
24825,19,9
24850,24,12
24900,18,9
24925,16,8
24950,23,12
25000,23,12
25050,18,9
25066,19,10
25083,23,12
25100,19,10
25116,16,8
25133,20,10
25150,18,9
25166,21,11
25183,23,12
25200,22,11
25216,21,11
25233,18,9
25250,20,10
25262,16,8
25275,17,8
25287,23,12
25300,22,11
25350,17,8
25362,18,9
25375,16,8
25387,18,9
25400,22,11
25416,23,12
25433,22,11
25450,17,9
25462,20,10
25475,20,10
25487,17,8
25500,23,12
25516,21,11
25533,18,9
25550,20,10
25575,20,10
25600,20,10
25616,23,12
25633,22,11
25650,16,8
25666,19,10
25683,19,10
25700,22,11
25750,16,8
25800,17,8
25825,21,11
25850,21,11
25875,18,9
25900,17,8
25916,17,8
25933,18,9
25950,23,12
25962,20,10
25975,18,9
25987,16,8
26000,22,11
26016,22,11
26033,21,11
26050,20,10
26075,21,10
26100,17,8
26112,17,9
26125,20,10
26137,24,12
26150,16,8
26250,23,12
26275,17,8
26300,19,10
26325,16,8
26350,22,11
26366,16,8
26383,17,9
26400,20,10
